Customer ID,Recency,Frequency,Monetary
12346.0,48,1,77183.6
12347.0,39,2,1187.18
12348.0,41,2,1120.24
12350.0,32,1,334.4
12352.0,5,3,1281.15
12356.0,48,1,2271.62
12359.0,27,2,2386.41
12361.0,9,1,189.9
12362.0,18,1,479.1
12365.0,13,2,641.38
12370.0,80,2,1864.27
12372.0,18,1,399.22
12373.0,33,1,364.6
12377.0,37,2,1628.12
12383.0,53,2,1251.88
12386.0,59,2,401.9
12388.0,27,2,555.35
12393.0,52,2,639.5
12395.0,24,3,911.43
12401.0,25,1,84.3
12402.0,45,1,225.6
12410.0,31,2,693.3299999999999
12413.0,59,1,479.25
12414.0,32,1,153.76
12415.0,4,4,37842.74
12417.0,3,3,1024.78
12421.0,41,1,157.45
12422.0,47,1,238.5
12423.0,14,2,430.24
12427.0,94,1,303.5
12428.0,5,3,4969.22
12429.0,88,1,1281.5
12431.0,7,5,2143.78
12433.0,88,2,3787.12
12437.0,11,4,982.9599999999999
12441.0,89,1,173.55
12451.0,47,1,2919.5099999999998
12455.0,17,2,1698.9
12458.0,7,1,441.92
12462.0,25,1,762.11
12464.0,7,2,363.84999999999997
12468.0,38,1,220.59
12471.0,11,7,5928.11
12472.0,39,2,2456.66
12474.0,10,4,887.38
12476.0,21,3,722.23
12477.0,23,1,2355.9500000000003
12480.0,58,1,816.25
12481.0,59,3,1394.43
12483.0,61,1,547.56
12484.0,58,1,1138.67
12489.0,58,1,334.93
12490.0,52,1,864.22
12494.0,18,3,312.55
12500.0,3,3,968.76
12501.0,58,1,2169.39
12502.0,32,1,617.25
12507.0,21,1,446.16
12509.0,6,1,176.5
12510.0,47,1,681.05
12515.0,75,1,383.7
12523.0,13,2,246.35
12524.0,3,3,1338.17
12527.0,17,2,284.92
12528.0,35,1,493.53000000000003
12530.0,59,1,387.40000000000003
12539.0,39,2,3431.7
12540.0,33,3,2317.17
12541.0,3,1,312.4
12547.0,2,1,159.4
12551.0,80,1,168.0
12553.0,3,3,1023.86
12557.0,55,2,4037.1200000000003
12559.0,33,2,561.71
12561.0,25,1,238.85
12565.0,11,1,145.92
12567.0,31,3,3179.11
12574.0,38,1,218.45
12576.0,27,1,266.85
12577.0,81,1,195.89
12578.0,52,1,1608.66
12582.0,11,1,205.16
12583.0,24,3,1907.58
12584.0,2,1,463.63
12585.0,73,1,1262.85
12591.0,39,1,452.84999999999997
12594.0,16,2,597.0
12598.0,7,1,720.86
12599.0,8,2,312.46000000000004
12600.0,32,3,702.74
12601.0,25,2,257.36
12609.0,40,1,287.93
12616.0,19,1,255.6
12621.0,13,4,2918.89
12625.0,41,1,1716.62
12626.0,38,2,1274.1
12633.0,10,1,1012.82
12637.0,46,1,1516.68
12643.0,55,1,871.1999999999999
12645.0,38,1,369.29999999999995
12647.0,79,4,1193.6
12651.0,56,1,114.0
12652.0,53,1,919.98
12653.0,19,1,779.1
12654.0,17,1,166.6
12662.0,31,2,598.1800000000001
12664.0,45,1,661.58
12665.0,47,1,63.0
12668.0,34,2,1479.67
12672.0,52,1,225.89999999999998
12673.0,49,1,220.9
12676.0,33,1,509.5
12678.0,7,3,574.71
12679.0,5,1,794.06
12681.0,34,6,5082.53
12682.0,33,5,2912.14
12683.0,6,4,2147.42
12686.0,94,1,89.14
12691.0,40,3,406.2
12693.0,41,1,162.05
12705.0,79,1,858.0
12707.0,14,1,603.42
12708.0,52,2,481.06
12709.0,6,4,3165.09
12712.0,34,4,1035.43
12714.0,17,1,968.3
12720.0,26,4,1105.33
12721.0,26,2,741.62
12724.0,54,1,154.9
12725.0,93,1,427.8
12726.0,38,2,571.86
12727.0,4,4,2007.32
12728.0,6,2,453.26
12731.0,35,2,4246.33
12734.0,74,1,110.39999999999999
12735.0,37,2,779.5699999999999
12736.0,55,1,234.0
12738.0,94,1,155.35
12744.0,40,1,2053.07
12747.0,5,4,1320.09
12748.0,6,44,4983.71
12753.0,4,3,9341.13
12754.0,31,1,45.57
12755.0,2,2,3811.95
12763.0,91,1,320.08
12764.0,39,1,1693.88
12766.0,14,3,2809.42
12775.0,33,1,214.45
12778.0,34,1,134.48
12779.0,30,3,1198.58
12781.0,7,1,549.26
12782.0,40,2,1147.43
12785.0,86,1,311.95
12791.0,96,1,192.60000000000002
12793.0,57,2,545.48
12797.0,88,1,254.03
12808.0,91,1,129.4
12811.0,6,1,240.25
12817.0,3,1,166.04
12820.0,48,1,170.46
12823.0,11,2,535.5
12826.0,39,3,697.1
12829.0,59,2,293.0
12834.0,5,1,312.38
