Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,48,1,77183.6,3,VIP Customers
12347.0,39,2,1187.18,0,Regular Customers
12348.0,41,2,1120.24,0,Regular Customers
12350.0,32,1,334.4,0,Regular Customers
12352.0,5,3,1281.15,0,Regular Customers
12356.0,48,1,2271.62,0,Regular Customers
12359.0,27,2,2386.41,0,Regular Customers
12361.0,9,1,189.9,0,Regular Customers
12362.0,18,1,479.1,0,Regular Customers
12365.0,13,2,641.38,0,Regular Customers
12370.0,80,2,1864.27,1,At-Risk Customers
12372.0,18,1,399.22,0,Regular Customers
12373.0,33,1,364.6,0,Regular Customers
12377.0,37,2,1628.12,0,Regular Customers
12383.0,53,2,1251.88,1,At-Risk Customers
12386.0,59,2,401.9,1,At-Risk Customers
12388.0,27,2,555.35,0,Regular Customers
12393.0,52,2,639.5,1,At-Risk Customers
12395.0,24,3,911.43,0,Regular Customers
12401.0,25,1,84.3,0,Regular Customers
12402.0,45,1,225.6,0,Regular Customers
12410.0,31,2,693.3299999999999,0,Regular Customers
12413.0,59,1,479.25,1,At-Risk Customers
12414.0,32,1,153.76,0,Regular Customers
12415.0,4,4,37842.74,3,VIP Customers
12417.0,3,3,1024.78,0,Regular Customers
12421.0,41,1,157.45,0,Regular Customers
12422.0,47,1,238.5,0,Regular Customers
12423.0,14,2,430.24,0,Regular Customers
12427.0,94,1,303.5,1,At-Risk Customers
12428.0,5,3,4969.22,0,Regular Customers
12429.0,88,1,1281.5,1,At-Risk Customers
12431.0,7,5,2143.78,0,Regular Customers
12433.0,88,2,3787.12,1,At-Risk Customers
12437.0,11,4,982.96,0,Regular Customers
12441.0,89,1,173.55,1,At-Risk Customers
12451.0,47,1,2919.51,0,Regular Customers
12455.0,17,2,1698.9,0,Regular Customers
12458.0,7,1,441.92,0,Regular Customers
12462.0,25,1,762.11,0,Regular Customers
12464.0,7,2,363.85,0,Regular Customers
12468.0,38,1,220.59,0,Regular Customers
12471.0,11,7,5928.11,0,Regular Customers
12472.0,39,2,2456.66,0,Regular Customers
12474.0,10,4,887.38,0,Regular Customers
12476.0,21,3,722.23,0,Regular Customers
12477.0,23,1,2355.9500000000003,0,Regular Customers
12480.0,58,1,816.25,1,At-Risk Customers
12481.0,59,3,1394.43,1,At-Risk Customers
12483.0,61,1,547.56,1,At-Risk Customers
12484.0,58,1,1138.67,1,At-Risk Customers
12489.0,58,1,334.93,1,At-Risk Customers
12490.0,52,1,864.22,1,At-Risk Customers
12494.0,18,3,312.55,0,Regular Customers
12500.0,3,3,968.76,0,Regular Customers
12501.0,58,1,2169.39,1,At-Risk Customers
12502.0,32,1,617.25,0,Regular Customers
12507.0,21,1,446.16,0,Regular Customers
12509.0,6,1,176.5,0,Regular Customers
12510.0,47,1,681.05,0,Regular Customers
12515.0,75,1,383.7,1,At-Risk Customers
12523.0,13,2,246.35,0,Regular Customers
12524.0,3,3,1338.17,0,Regular Customers
12527.0,17,2,284.92,0,Regular Customers
12528.0,35,1,493.53,0,Regular Customers
12530.0,59,1,387.4,1,At-Risk Customers
12539.0,39,2,3431.7,0,Regular Customers
12540.0,33,3,2317.17,0,Regular Customers
12541.0,3,1,312.4,0,Regular Customers
12547.0,2,1,159.4,0,Regular Customers
12551.0,80,1,168.0,1,At-Risk Customers
12553.0,3,3,1023.86,0,Regular Customers
12557.0,55,2,4037.12,1,At-Risk Customers
12559.0,33,2,561.71,0,Regular Customers
12561.0,25,1,238.85,0,Regular Customers
12565.0,11,1,145.92,0,Regular Customers
12567.0,31,3,3179.11,0,Regular Customers
12574.0,38,1,218.45,0,Regular Customers
12576.0,27,1,266.85,0,Regular Customers
12577.0,81,1,195.89,1,At-Risk Customers
12578.0,52,1,1608.66,1,At-Risk Customers
12582.0,11,1,205.16,0,Regular Customers
12583.0,24,3,1907.58,0,Regular Customers
12584.0,2,1,463.63,0,Regular Customers
12585.0,73,1,1262.85,1,At-Risk Customers
12591.0,39,1,452.85,0,Regular Customers
12594.0,16,2,597.0,0,Regular Customers
12598.0,7,1,720.86,0,Regular Customers
12599.0,8,2,312.46000000000004,0,Regular Customers
12600.0,32,3,702.74,0,Regular Customers
12601.0,25,2,257.36,0,Regular Customers
12609.0,40,1,287.93,0,Regular Customers
12616.0,19,1,255.6,0,Regular Customers
12621.0,13,4,2918.89,0,Regular Customers
12625.0,41,1,1716.62,0,Regular Customers
12626.0,38,2,1274.1,0,Regular Customers
12633.0,10,1,1012.82,0,Regular Customers
12637.0,46,1,1516.68,0,Regular Customers
12643.0,55,1,871.1999999999999,1,At-Risk Customers
12645.0,38,1,369.3,0,Regular Customers
12647.0,79,4,1193.6,1,At-Risk Customers
12651.0,56,1,114.0,1,At-Risk Customers
12652.0,53,1,919.98,1,At-Risk Customers
12653.0,19,1,779.1,0,Regular Customers
12654.0,17,1,166.6,0,Regular Customers
12662.0,31,2,598.1800000000001,0,Regular Customers
12664.0,45,1,661.58,0,Regular Customers
12665.0,47,1,63.0,0,Regular Customers
12668.0,34,2,1479.67,0,Regular Customers
12672.0,52,1,225.9,1,At-Risk Customers
12673.0,49,1,220.9,1,At-Risk Customers
12676.0,33,1,509.5,0,Regular Customers
12678.0,7,3,574.71,0,Regular Customers
12679.0,5,1,794.06,0,Regular Customers
12681.0,34,6,5082.53,0,Regular Customers
12682.0,33,5,2912.14,0,Regular Customers
12683.0,6,4,2147.42,0,Regular Customers
12686.0,94,1,89.14,1,At-Risk Customers
12691.0,40,3,406.2,0,Regular Customers
12693.0,41,1,162.05,0,Regular Customers
12705.0,79,1,858.0,1,At-Risk Customers
12707.0,14,1,603.42,0,Regular Customers
12708.0,52,2,481.06,1,At-Risk Customers
12709.0,6,4,3165.09,0,Regular Customers
